Judul;Pendapatan;Prediksi;Tahun
Avengers: Endgame;2.797.800.564;2.951.450.983;2019
Avatar;2.790.439.000;2.493.539.042;2009
Titanic;2.194.439.542;20.144.631.013;1997
Star Wars: Episode VII - The Force Awakens;2.068.223.624;2.261.911.100;2015
Avengers: Infinity War ;2.048.359.754;2.448.459.091;2018
Jurassic World;1.670.400.637;1.890.391.639;2015
The Lion King;1.656.943.394;543.638.043;2019
The Avengers;1.518.812.988;623.357.910;2012
Furious 7;1.515.047.671;353.007.020;2015
Frozen II;1.450.026.933;477.373.578;2019
Avengers: Age of Ultron;1.402.805.868;459.005.868;2015
Black Panther;1.346.913.161;700.059.566;2018
Harry Potter and the Deathly Hallows: Part 2;1.341.932.398;381.409.310;2011
Star Wars: Episode VIII - The Last Jedi;1.332.539.889;620.181.382;2017
Jurassic World: Fallen Kingdom;1.308.467.944;417.719.760;2018
Frozen;1.280.802.282;400.738.009;2013
Beauty and the Beast;1.263.521.126;504.014.165;2017
Incredibles 2;1.242.805.359;608.581.744;2018
The Fate of the Furious;1.236.005.118;226.008.385;2017
Iron Man 3;1.214.811.252;409.013.994;2013
Minions;1.159.398.397;336.045.770;2015
Captain America: Civil War;1.153.296.293;408.084.349;2016
Aquaman;1.148.461.807;335.061.807;2018
The Lord of the Rings: The Return of the King;1.142.219.401;377.845.905;2003
Spider-Man: Far from Home;1.131.927.996;390.532.085;2019
Captain Marvel;1.128.274.794;426.829.839;2019
Transformers: Dark of the Moon;1.123.794.079;352.390.543;2011
Skyfall;1.108.561.013;304.360.277;2012
Transformers: Age of Extinction;1.104.054.072;245.439.076;2014
The Dark Knight Rises;1.081.041.287;448.139.099;2012
Joker;1.074.251.311;335.451.311;2019
Star Wars: Episode IX - The Rise of Skywalker;1.074.144.248;515.202.542;2019
Toy Story 4;1.073.394.593;434.038.008;2019
Toy Story 3;1.066.969.703;415.004.880;2010
Pirates of the Caribbean: Dead Man's Chest;1.066.179.725;423.315.812;2006
Rogue One: A Star Wars Story;1.056.057.273;532.177.324;2016
Aladdin;1.050.693.953;355.559.216;2019
Pirates of the Caribbean: On Stranger Tides;1.045.713.802;241.071.802;2011
Despicable Me 3;1.034.799.409;264.624.300;2017
Jurassic Park;1.032.020.521;402.828.120;1993
Finding Dory;1.028.570.889;486.295.561;2016
Star Wars: Episode I - The Phantom Menace;1.027.082.707;474.544.677;1999
Alice in Wonderland;1.025.467.110;334.191.110;2010
Zootopia;1.023.784.195;341.268.248;2016
